10,10736d3a
14,1f069b01
d1b0,3480000
d1b4,34e2240
d1b8,3480000
d1c0,0
d1c4,0
d1c8,0
d1d0,0
d1d4,0
d1d8,0
d1e0,0
d1e4,0
d1e8,0
d1f0,0
d1f4,0
d1f8,0
d200,0
d204,0
d208,0
d210,0
d214,0
d218,0
d220,0
d224,0
d228,0
d230,0
d234,0
d238,0
d240,0
d244,0
d248,0
d250,0
d254,0
d258,0
d260,0
d264,0
d268,0
d270,0
d274,0
d278,0
d280,0
d284,0
d288,0
89e810,0
89e814,0
89e81c,0
89e850,0
89e854,0
89e858,0
89e85c,0
89e868,0
89e86c,0
89e870,0
89e890,0
89e894,0
89e898,0
89e89c,0
89e8a0,0
89e8a4,0
89e8a8,0
89e8ac,0
89e8b0,0
89e8d0,0
89e8d4,0
89e8d8,0
89e8dc,0
89e8e0,0
89e8e4,0
89e8e8,0
89e8ec,0
89e8f0,0
89e90c,0
89e910,0
89e914,0
89e918,0
89e91c,0
89e920,0
89e924,0
89e928,0
89e92c,0
89e930,0
89e94c,0
89e950,0
89e954,0
89e958,0
89e95c,0
89e960,0
89e964,0
89e968,0
89e96c,0
89e970,0
89e98c,0
89e990,0
89e994,0
89e998,0
89e99c,0
89e9a0,0
89e9a4,0
89e9a8,0
89e9ac,0
89e9b0,0
89e9cc,0
89e9d0,0
89e9d4,0
89e9d8,0
89e9dc,0
89e9e0,0
89e9e4,0
89e9e8,0
89e9ec,0
89e9f0,0
89ea0c,0
89ea10,0
89ea14,0
89ea18,0
89ea1c,0
89ea20,0
89ea24,0
89ea28,0
89ea2c,0
89ea30,0
89ea4c,0
89ea50,0
89ea54,0
89ea58,0
89ea5c,0
89ea60,0
89ea64,0
89ea68,0
89ea6c,0
89ea70,0
89ea8c,0
89ea90,0
89ea94,0
89ea98,0
89ea9c,0
89eaa0,0
89eaa4,0
89eaa8,0
89eaac,0
89eab0,0
89eacc,0
89ead0,0
89ead4,0
89ead8,0
89eadc,0
89eae0,0
89eae4,0
89eae8,0
89eaec,0
89eaf0,0
89eb0c,0
89eb10,0
89eb14,0
89eb18,0
89eb1c,0
89eb20,0
89eb24,0
89eb28,0
89eb2c,0
89eb30,0
89eb4c,0
89eb50,0
89eb54,0
89eb58,0
89eb5c,0
89eb60,0
89eb64,0
89eb68,0
89eb6c,0
89eb70,0
89eb8c,0
89eb90,0
89eb94,0
89eb98,0
89eb9c,0
89eba0,0
89eba4,0
89eba8,0
89ebac,0
89ebb0,0
89ebcc,0
89ebd4,0
89ebd8,0
89ebe8,0
89ebec,0
89ebf0,0
a87af8,c1027b0
a87afc,2002025
a87b00,14400180
a87b04,8fbf001c
a87b08,10000005
a87b0c,0
a87b10,0
a87b14,0
a87b18,0
a87dc8,c104010
a87e24,c104010
a87e80,c104010
a880d4,c10402e
a88490,c100457
a88494,0
a88498,8602001c
a8849c,24010003
a884a4,0
a88c0c,8100463
a88c10,2003025
a88c20,8100463
a88c24,2003025
a88c34,8100463
a88c38,2003025
a88c48,8100463
a88c4c,2003025
a88c70,8100463
a88c74,2003025
a88c7c,8100463
a88c80,2003025
a88c88,8100463
a88c8c,2003025
a88cb0,8100463
a88cb4,2003025
a88cc4,8100463
a88cc8,2003025
a88cd8,8100463
a88cdc,2003025
a88cec,8100463
a88cf0,2003025
a88d00,8100463
a88d04,2003025
a88d14,8100463
a88d18,2003025
a88d44,8100463
a88d48,2003025
a88d50,8100463
a88d54,2003025
a88f64,c100494
a88f78,c103d3e
a88f9c,c1004bb
a88fa0,0
a89048,c103d57
a89490,81027e9
a89494,0
a8972c,c10279b
a897c0,c10043e
a897c4,0
a897c8,0
a897cc,0
a897d0,0
a897d4,0
a897d8,0
a897dc,0
a897e0,0
a897e4,0
a897f8,8100447
a897fc,8fbf003c
a89958,c10279b
a899cc,810044f
a899d0,8fbf003c
a96e5c,8101124
a98c30,c100431
a99d48,c10112b
a9aaf0,c100b05
a9aaf4,0
a9ab0c,c100ae7
a9ab10,0
a9e838,810088a
ac7ad4,c1003b1
ac8608,902025
ac860c,848e00a4
ac8610,34010043
ac8614,0
ac8618,0
ac91b4,0
ac9abc,c100519
ac9ac0,0
accd34,c1005ce
accd38,8e190000
accde0,c10294b
acce18,c1009e9
acce1c,8e0200a4
acce20,1060001e
acce24,0
acce28,0
acce2c,0
acce34,0
acce38,0
acce3c,0
acce88,c1025af
acce8c,34040001
acce90,0
acce94,0
acce98,0
acd024,afbf0014
acd028,c103533
acd02c,0
acd030,8fbf0014
acd034,3e00008
acd038,27bd0018
ad193c,10000012
ada8a8,0
ada8ac,0
ada8b0,0
ada97c,0
ada9a8,0
ada9bc,0
adaa64,0
adaa74,0
adaa78,0
adaba8,0
adabcc,0
adabe4,0
ae5764,81007b0
ae5768,0
ae59e0,81007cc
ae5df8,c100511
ae5e04,0
ae74d8,340e0000
ae807c,6010007
ae8080,84b80030
ae8084,c100c8a
ae8088,0
ae8090,0
ae8094,0
ae8098,0
ae986c,8100c6a
ae9870,3c01800f
ae9ed8,35ee0000
aeb67c,c100acb
aeb680,0
aeb764,26380008
aeb768,ae9802b0
aeb76c,c102b87
aeb778,400821
af1398,92020852
af13ac,92020852
af1814,c10103e
af1818,0
af74f8,afbf0044
af74fc,c100b9b
af7500,0
af7504,8fbf0044
af7650,afbf0034
af7654,c100ba9
af7658,0
af765c,8fbf0034
af76b8,afbf000c
af76bc,c100b90
af76c4,8fbf000c
b06248,c1010ad
b0624c,0
b06400,820f0ede
b0640c,31f80002
b06534,810423b
b06680,810429d
b06684,0
b06bb8,34190000
b06c2c,c1008cb
b06c30,a2280020
b06ce4,c10449c
b06f30,810440b
b06f34,0
b10218,afa40020
b1021c,30a8fffe
b10220,3401000e
b10224,15010006
b10228,afa50024
b1022c,10000030
b10230,0
b10234,4410002
b10238,34010004
b1023c,afa10024
b10240,8fa60020
b10244,3c010001
b10248,242121c8
b1024c,c12021
b10250,afa40018
b10254,c000ba0
b10258,24050250
b1025c,8fa20024
b10260,8fa40018
b10264,8fa60020
b10268,24010001
b1026c,27143
b10270,15c10015
b10274,ac820228
b10278,3c01800a
b1027c,242f8dec
b10280,24388e18
b10284,24398c00
b10288,24289244
b1028c,24298fa8
b10290,242a8e24
b10294,242b9250
b10298,242c92a8
b1029c,242d92b4
b102f0,3c010001
b102f4,242117a4
b102f8,812021
b102fc,c02058a
b10300,24050002
b10304,1000ffcb
b10308,0
b1030c,3c01800a
b10310,242f8218
b10314,243882b8
b10318,243981e0
b1031c,24288700
b10320,242983fc
b10324,242a82c4
b10328,242b83e4
b1032c,242c83d8
b10cc0,c1005b6
b10cc4,3c010001
b12a34,c100763
b12a38,0
b12a60,8103731
b12e30,c103745
b12e44,8103754
b17bb4,afbf001c
b17bb8,afa40140
b17bbc,3c048040
b17bc0,3c060006
b17bc4,24c62240
b17bc8,c00037c
b17bcc,3c050348
b17bd0,c1003a4
b17bd4,0
b2b488,c100dc8
b2b48c,0
b2b490,0
b2b494,0
b2b498,0
b2b49c,0
b2b4f0,3c048013
b2b4f4,24848a50
b2b4f8,3c058040
b2b4fc,24a536fc
b2b500,c015c0c
b2b504,34060018
b2b508,3c048013
b2b50c,24848a50
b2b514,0
b2b518,3c048013
b2b51c,24848a5c
b2b520,c02cf77
b2b524,0
b2b528,0
b2b52c,0
b2b530,0
b2b534,0
b2b538,0
b2b53c,0
b2e82c,3c058001
b2e830,8ca5b188
b2e854,3c058001
b2e858,8ca5b198
b3dd3c,3c018040
b3dd40,8c243718
b3dd44,c02e195
b3dd48,8c25371c
b3dd4c,8fbf0014
b3dd54,27bd0018
b4c980,8101161
b4c984,0
b51694,c1008de
b516c4,c1008e5
b52784,c1008ff
b52788,0
b5278c,8fbf003c
b5293c,10000018
b52ac0,c101155
b52ac4,0
b52ad0,0
b52ad4,0
b52ad8,0
b52adc,0
b52b64,0
b52b68,0
b54b38,c100879
b54e5c,c100866
b55428,a42063ed
b55a64,c1008b0
b575c8,acae0000
b58320,afbf0000
b58324,c100b55
b58328,0
b5832c,8fbf0000
b58330,0
b5d6bc,1ac
b71e60,202018
b71e64,4010
b71e68,60080000
b7ec4c,8009a3ac
ba16ac,c100eb2
ba16b0,a42fca2a
ba16e0,c100ebd
ba16e4,a439ca2a
ba18c4,340c00c8
ba1980,340800c8
ba19dc,0
ba1c68,c100ec8
ba1c6c,a42dca2a
ba1c70,850e4a38
ba1cd0,c100ed3
ba1cd4,a439ca2a
ba1d04,c100ede
ba1d08,0
ba1e20,340d00c8
ba32cc,c100ee9
ba32d0,a439ca2a
ba3300,c100ef4
ba3304,a42bca2a
ba34dc,341800c8
ba3654,0
ba39d0,340d00c8
baa168,c100e9c
baa16c,a42eca2a
baa198,c100ea7
baa19c,a42dca2a
baa3ac,a07025
bac064,7821
bac1bc,7821
bac3ec,c821
bac94c,c821
bae5a4,a46b4a6c
bae5c8,0
bae864,0
baed6c,0
baf4f4,c100eff
baf4f8,2002025
baf738,102825
baf73c,c1022e4
baf740,330400ff
baf744,8fb00018
